productName,productId,productPrice,productWeight,productDetails
PhiThermo,P020,$49.99 ,80g,"Smart Thermostat, WiFi, Energy saving"
EpsilonCamera,P005,$999.00 ,800g,"24MP, 4K video recording, WiFi enabled"
UpsilonLight,P019,$19.99 ,50g,"Smart LED, Dimmable, App controlled"
RhoSSD,P016,$249.00 ,50g,"2TB, External, USB-C"
DeltaWatch,P004,$249.99 ,50g,"Smartwatch, 40mm, GPS, heart monitor"
ThetaSpeaker,P007,$149.00 ,500g,"Bluetooth, Waterproof, 10-hour battery"
XiKeyboard,P013,$89.99 ,450g,"Mechanical, RGB lighting, Wired"
BetaTablet,P002,$799.50 ,450g,"128GB, 10-inch display, WiFi only"
ZetaHeadset,P006,$199.99 ,300g,"Wireless, Noise Cancelling, Bluetooth"
PiRouter,P015,$159.99 ,300g,"Dual-band, 1Gbps, 6 antennas"
IotaMonitor,P008,$349.50 ,3.5kg,"27-inch, 4K resolution, HDR support"
MuConsole,P011,$499.00 ,2kg,"1TB storage, 4K gaming, HDR support"
SigmaFlash,P017,$39.99 ,20g,"128GB, USB 3.0, Waterproof"
OmicronMouse,P014,$69.99 ,200g,"Wireless, Rechargeable, Ergonomic"
AlphaPhone,P001,$599.99 ,200g,"64GB, 5.5-inch display"
KappaDrone,P009,$799.99 ,1kg,"4K camera, GPS, 30-minute flight time"
LambdaMic,P010,$129.99 ,150g,"USB, Noise reduction, Studio quality"
TauSmartPlug,P018,$29.99 ,100g,"WiFi enabled, Voice control compatible"
NuCharger,P012,$59.99 ,100g,"20W fast charging, USB-C"
GammaLaptop,P003,"$1,299.00 ",1.5kg,"16GB RAM, 512GB SSD, i7 processor"
